invoice_id,invoice_date,due_date,customer_id,customer_name,customer_email,billing_country,invoice_status,currency,subtotal,tax_amount,total_amount,payment_method,paid_date,line_items,notes
INV-2026-0001,2026-01-01,2026-01-31,CUST-001,Acme Retail,ap@acmeretail.com,US,paid,USD,1200.00,96.00,1296.00,card,2026-01-05,Laptop_Stand_x10|USB_Hub_x5,January office accessories
INV-2026-0002,2026-01-02,2026-02-01,CUST-002,Northwind Traders,billing@northwindtraders.com,US,paid,USD,850.00,68.00,918.00,bank_transfer,2026-01-10,Keyboard_x20|Mouse_x20,Quarterly hardware refresh
INV-2026-0003,2026-01-03,2026-02-02,CUST-003,Blue Harbor Cafe,finance@blueharborcafe.com,CA,sent,CAD,430.00,21.50,451.50,card,,POS_Printer_Rolls_x30,Awaiting payment confirmation
INV-2026-0004,2026-01-04,2026-02-03,CUST-004,Sunpeak Logistics,acct@sunpeaklogistics.com,US,overdue,USD,2200.00,176.00,2376.00,ach,,Fleet_Tracking_Subscription_x1,Follow up needed this week
INV-2026-0005,2026-01-05,2026-02-04,CUST-005,Maple Medical,maple.ap@maplemedical.com,CA,paid,CAD,1640.00,82.00,1722.00,bank_transfer,2026-01-22,Gloves_Box_x200|Masks_Box_x100,Hospital supplies restock
INV-2026-0006,2026-01-06,2026-02-05,CUST-006,Helios Fitness,payables@heliosfitness.com,UK,paid,GBP,990.00,198.00,1188.00,card,2026-01-12,Treadmill_Maintenance_x3,Service contract invoice
INV-2026-0007,2026-01-07,2026-02-06,CUST-007,Orchid Hotels,finance@orchidhotels.com,US,draft,USD,3100.00,248.00,3348.00,bank_transfer,,Linens_Set_x60|Towels_Set_x120,Pending manager approval
INV-2026-0008,2026-01-08,2026-02-07,CUST-008,Pioneer Education,ap@pioneeredu.org,US,paid,USD,760.00,60.80,820.80,ach,2026-01-18,Projector_Lamp_x8,Campus AV maintenance
INV-2026-0009,2026-01-09,2026-02-08,CUST-009,Vertex Bio,accounts@vertexbio.com,DE,sent,EUR,1450.00,275.50,1725.50,bank_transfer,,Lab_Filter_Set_x25,Net 30 terms
INV-2026-0010,2026-01-10,2026-02-09,CUST-010,Cedar Legal,billing@cedarlegal.com,US,paid,USD,680.00,54.40,734.40,card,2026-01-15,Document_Shred_Service_x4,Monthly records disposal
INV-2026-0011,2026-01-11,2026-02-10,CUST-011,Urban Thread,payments@urbanthread.com,US,paid,USD,1320.00,105.60,1425.60,paypal,2026-01-20,Fabric_Roll_x22,Spring line materials
INV-2026-0012,2026-01-12,2026-02-11,CUST-012,Atlas Design,ap@atlasdesign.studio,AU,sent,AUD,910.00,91.00,1001.00,card,,Cloud_Render_Credits_x140,Awaiting card settlement
INV-2026-0013,2026-01-13,2026-02-12,CUST-013,Riverbank Foods,finance@riverbankfoods.com,US,overdue,USD,2750.00,220.00,2970.00,ach,,Cold_Storage_Service_x1,Escalated to collections queue
INV-2026-0014,2026-01-14,2026-02-13,CUST-014,Peak Properties,accounts@peakproperties.com,US,paid,USD,540.00,43.20,583.20,bank_transfer,2026-01-30,Inspection_Visit_x6,January property checks
INV-2026-0015,2026-01-15,2026-02-14,CUST-015,Silverline Media,payables@silverlinemedia.com,UK,paid,GBP,1260.00,252.00,1512.00,card,2026-01-25,Ad_Campaign_Review_x3,Creative retainer cycle
INV-2026-0016,2026-01-16,2026-02-15,CUST-016,Nimbus Energy,ap@nimbusenergy.io,US,sent,USD,3400.00,272.00,3672.00,bank_transfer,,Sensor_Node_x40,Procurement approval pending
INV-2026-0017,2026-01-17,2026-02-16,CUST-017,Bloom Boutique,billing@bloomboutique.com,CA,paid,CAD,470.00,23.50,493.50,card,2026-01-23,Display_Kit_x5,Storefront refresh
INV-2026-0018,2026-01-18,2026-02-17,CUST-018,Quasar Mobility,finance@quasarmobility.com,US,paid,USD,1890.00,151.20,2041.20,ach,2026-01-31,Wheel_Module_x14,Field repair order
INV-2026-0019,2026-01-19,2026-02-18,CUST-019,Harbor Dental,accounts@harbordental.ca,CA,draft,CAD,620.00,31.00,651.00,card,,Dental_Chair_Cover_x50,Draft before clinic confirmation
INV-2026-0020,2026-01-20,2026-02-19,CUST-020,Stonebridge IT,ap@stonebridgeit.com,US,paid,USD,2150.00,172.00,2322.00,bank_transfer,2026-02-03,Managed_IT_Hours_x43,January managed services
INV-2026-0021,2026-01-21,2026-02-20,CUST-021,Luna Cosmetics,finance@lunacosmetics.com,FR,sent,EUR,980.00,196.00,1176.00,paypal,,Packaging_Set_x70,Waiting for PO release
INV-2026-0022,2026-01-22,2026-02-21,CUST-022,Greenline Transit,billing@greenlinetransit.com,US,overdue,USD,4020.00,321.60,4341.60,ach,,Route_Analytics_Subscription_x1,Second reminder issued
INV-2026-0023,2026-01-23,2026-02-22,CUST-023,Oakridge School,accounts@oakridge-school.edu,US,paid,USD,730.00,58.40,788.40,card,2026-02-01,Tablet_Case_x60,Technology program accessories
INV-2026-0024,2026-01-24,2026-02-23,CUST-024,Summit Outdoors,ap@summitoutdoors.com,US,paid,USD,1580.00,126.40,1706.40,bank_transfer,2026-02-06,Camping_Stove_x25,Wholesale equipment order
INV-2026-0025,2026-01-25,2026-02-24,CUST-025,Polaris Labs,finance@polarislabs.ai,US,sent,USD,2440.00,195.20,2635.20,card,,GPU_Runtime_Hours_x610,Pending research grant disbursement
INV-2026-0026,2026-01-26,2026-02-25,CUST-001,Acme Retail,ap@acmeretail.com,US,paid,USD,910.00,72.80,982.80,paypal,2026-02-04,Barcode_Scanner_x7,Backroom scanning upgrade
INV-2026-0027,2026-01-27,2026-02-26,CUST-002,Northwind Traders,billing@northwindtraders.com,US,paid,USD,1120.00,89.60,1209.60,bank_transfer,2026-02-07,Shelf_Label_Printer_x2,Warehouse labeling cycle
INV-2026-0028,2026-01-28,2026-02-27,CUST-003,Blue Harbor Cafe,finance@blueharborcafe.com,CA,sent,CAD,360.00,18.00,378.00,card,,Coffee_Grinder_Service_x2,Awaiting owner signoff
INV-2026-0029,2026-01-29,2026-02-28,CUST-004,Sunpeak Logistics,acct@sunpeaklogistics.com,US,paid,USD,2680.00,214.40,2894.40,ach,2026-02-12,Truck_Diagnostic_Tool_x4,Maintenance tooling purchase
INV-2026-0030,2026-01-30,2026-03-01,CUST-005,Maple Medical,maple.ap@maplemedical.com,CA,overdue,CAD,1490.00,74.50,1564.50,bank_transfer,,Sterile_Drape_Pack_x90,Payment contact unavailable
INV-2026-0031,2026-01-31,2026-03-02,CUST-006,Helios Fitness,payables@heliosfitness.com,UK,paid,GBP,840.00,168.00,1008.00,card,2026-02-10,Resistance_Band_Set_x40,Member onboarding kits
INV-2026-0032,2026-02-01,2026-03-03,CUST-007,Orchid Hotels,finance@orchidhotels.com,US,paid,USD,3340.00,267.20,3607.20,bank_transfer,2026-02-14,Mini_Bar_Refill_Set_x50,Regional property replenishment
INV-2026-0033,2026-02-02,2026-03-04,CUST-008,Pioneer Education,ap@pioneeredu.org,US,sent,USD,640.00,51.20,691.20,ach,,Classroom_Speaker_x16,School district billing cycle
INV-2026-0034,2026-02-03,2026-03-05,CUST-009,Vertex Bio,accounts@vertexbio.com,DE,paid,EUR,1710.00,324.90,2034.90,bank_transfer,2026-02-19,Micropipette_Tip_Box_x120,Laboratory consumables
INV-2026-0035,2026-02-04,2026-03-06,CUST-010,Cedar Legal,billing@cedarlegal.com,US,draft,USD,520.00,41.60,561.60,card,,Secure_Archive_Box_x30,Pending partner approval
INV-2026-0036,2026-02-05,2026-03-07,CUST-011,Urban Thread,payments@urbanthread.com,US,paid,USD,1480.00,118.40,1598.40,paypal,2026-02-16,Pattern_Template_x80,Production floor restock
INV-2026-0037,2026-02-06,2026-03-08,CUST-012,Atlas Design,ap@atlasdesign.studio,AU,paid,AUD,1060.00,106.00,1166.00,card,2026-02-21,Mockup_Plugin_License_x12,Team license renewal
INV-2026-0038,2026-02-07,2026-03-09,CUST-013,Riverbank Foods,finance@riverbankfoods.com,US,sent,USD,2820.00,225.60,3045.60,ach,,Cold_Chain_Labels_x400,Awaiting receivables processing
INV-2026-0039,2026-02-08,2026-03-10,CUST-014,Peak Properties,accounts@peakproperties.com,US,paid,USD,610.00,48.80,658.80,bank_transfer,2026-02-24,Lockbox_Service_x10,Residential complex run
INV-2026-0040,2026-02-09,2026-03-11,CUST-015,Silverline Media,payables@silverlinemedia.com,UK,overdue,GBP,1340.00,268.00,1608.00,card,,Video_Render_Queue_x290,Outstanding from prior cycle
INV-2026-0041,2026-02-10,2026-03-12,CUST-016,Nimbus Energy,ap@nimbusenergy.io,US,paid,USD,3210.00,256.80,3466.80,bank_transfer,2026-02-26,Transformer_Sensor_x18,Grid monitoring expansion
